timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-10-16,57343.56040000,57497.19248000,55640.67600000,56165.94872000,8159.30000000,8181.16000000,7917.00000000,7991.74000000,34733.59396600,34733.59396600
2019-10-15,58661.73208000,59056.28400000,56856.52000000,57343.49012000,8346.86000000,8403.00000000,8090.00000000,8159.29000000,32773.06247600,32773.06247600
2019-10-14,58158.38672000,58956.83780000,57650.68400000,58671.14960000,8275.24000000,8388.85000000,8203.00000000,8348.20000000,29810.66325300,29810.66325300
2019-10-13,58346.31544000,59396.22836000,57348.48000000,58156.77028000,8301.98000000,8451.37000000,8160.00000000,8275.01000000,27840.73995300,27840.73995300
2019-10-12,58036.87260000,59035.20000000,57981.00000000,58333.03252000,8257.95000000,8400.00000000,8250.00000000,8300.09000000,21339.33409800,21339.33409800
2019-10-11,60144.35896000,61702.39628000,57716.60664000,58040.73800000,8557.82000000,8779.51000000,8212.38000000,8258.50000000,50405.28441800,50405.28441800
2019-10-10,60174.79020000,60750.03200000,59137.24656000,60145.83484000,8562.15000000,8644.00000000,8414.52000000,8558.03000000,39137.94616700,39137.94616700
2019-10-09,57424.31212000,60932.76000000,57032.22000000,60164.88072000,8170.79000000,8670.00000000,8115.00000000,8560.74000000,55038.70437800,55038.70437800
2019-10-08,57565.08296000,58508.10000000,56847.73500000,57407.44492000,8190.82000000,8325.00000000,8088.75000000,8168.39000000,35452.65742300,35452.65742300
2019-10-07,55207.04840000,58331.83776000,54551.33600000,57559.95252000,7855.30000000,8299.92000000,7762.00000000,8190.09000000,52202.07229700,52202.07229700
2019-10-06,57120.42140000,57305.39836000,54712.98000000,55199.66900000,8127.55000000,8153.87000000,7785.00000000,7854.25000000,34676.10404900,34676.10404900
2019-10-05,57187.46852000,57513.00548000,56315.22344000,57110.86332000,8137.09000000,8183.41000000,8012.98000000,8126.19000000,21907.61556400,21907.61556400
2019-10-04,57801.29404000,57857.37748000,56259.14000000,57187.74964000,8224.43000000,8232.41000000,8005.00000000,8137.13000000,26476.33040400,26476.33040400
2019-10-03,58754.08000000,58986.00400000,56645.68000000,57797.99088000,8360.00000000,8393.00000000,8060.00000000,8223.96000000,30488.28405800,30488.28405800
2019-10-02,58280.88476000,58851.83948000,57286.77416000,58753.65832000,8292.67000000,8373.91000000,8151.22000000,8359.94000000,26243.38664400,26243.38664400
2019-10-01,58261.90916000,59738.00000000,57440.19540000,58279.26832000,8289.97000000,8500.00000000,8173.05000000,8292.44000000,43472.41809100,43472.41809100
2019-09-30,56526.48512000,58594.26328000,54185.88000000,58257.48152000,8043.04000000,8337.26000000,7710.00000000,8289.34000000,55865.48726000,55865.48726000
2019-09-29,57625.24264000,57834.32564000,55450.92000000,56531.96696000,8199.38000000,8229.13000000,7890.00000000,8043.82000000,31544.21138800,31544.21138800
2019-09-28,57471.25916000,58437.82000000,56231.66052000,57621.23668000,8177.47000000,8315.00000000,8001.09000000,8198.81000000,34473.60516500,34473.60516500
2019-09-27,56670.20772000,58086.42000000,55184.91020000,57474.35148000,8063.49000000,8265.00000000,7852.15000000,8177.91000000,43882.92462500,43882.92462500
2019-09-26,59246.39140000,59498.97772000,54467.00000000,56671.89444000,8430.05000000,8465.99000000,7750.00000000,8063.73000000,67930.85374900,67930.85374900
2019-09-25,59720.78140000,61354.44000000,57739.51792000,59246.39140000,8497.55000000,8730.00000000,8215.64000000,8430.05000000,60783.89225800,60783.89225800
2019-09-24,68187.06160000,68839.18972000,54818.40000000,59689.78792000,9702.20000000,9794.99000000,7800.00000000,8493.14000000,94007.34520300,94007.34520300
2019-09-23,70477.13540000,70631.32972000,67579.63156000,68187.41300000,10028.05000000,10049.99000000,9615.77000000,9702.25000000,31937.23235600,31937.23235600
2019-09-22,70175.63420000,70905.49200000,69253.70116000,70482.89836000,9985.15000000,10089.00000000,9853.97000000,10028.87000000,22049.27525600,22049.27525600
2019-09-21,71460.14176000,71521.84760000,69577.20000000,70184.34892000,10167.92000000,10176.70000000,9900.00000000,9986.39000000,20544.17519600,20544.17519600
2019-09-20,71992.72360000,72254.86800000,70711.44892000,71464.85052000,10243.70000000,10281.00000000,10061.39000000,10168.59000000,25088.49106900,25088.49106900
2019-09-19,71379.24948000,72564.10000000,67841.28400000,71996.87012000,10156.41000000,10325.00000000,9653.00000000,10244.29000000,44826.28257900,44826.28257900
2019-09-18,71597.60944000,72093.36456000,70982.80000000,71383.32572000,10187.48000000,10258.02000000,10100.00000000,10156.99000000,24250.24930300,24250.24930300
2019-09-17,72034.75104000,72212.70000000,71179.65428000,71599.99896000,10249.68000000,10275.00000000,10128.01000000,10187.82000000,22914.32456300,22914.32456300
2019-09-16,72411.87352000,72774.94000000,70828.18400000,72046.20668000,10303.34000000,10355.00000000,10078.00000000,10251.31000000,28971.40165700,28971.40165700
2019-09-15,72618.98868000,72810.08000000,72052.11020000,72402.52628000,10332.81000000,10360.00000000,10252.15000000,10302.01000000,18047.65401300,18047.65401300
2019-09-14,72698.54564000,73231.68972000,71842.53524000,72634.52056000,10344.13000000,10419.99000000,10222.33000000,10335.02000000,23621.53351900,23621.53351900
2019-09-13,73196.69028000,73365.29200000,71355.28400000,72683.99768000,10415.01000000,10439.00000000,10153.00000000,10342.06000000,30280.33977600,30280.33977600
2019-09-12,71395.69500000,73434.23668000,70561.12000000,73196.69028000,10158.75000000,10448.81000000,10040.00000000,10415.01000000,34511.16275500,34511.16275500
2019-09-11,70970.07932000,72339.20400000,69436.64000000,71392.74324000,10098.19000000,10293.00000000,9880.00000000,10158.33000000,31953.82456200,31953.82456200
